y1,y2,y3,y4,y5,y,god,x1,clu4_1
33,2.3,1.5,39.5,23.7,13866.30,2016,5.38,1
41.5,2.4,1.5,30.6,24,10800.10,2016,5.38,1
36.3,1.8,1.2,32.1,28.5,12420.20,2016,5.38,1
37.8,0.6,2.1,36.3,23.2,12211.40,2016,5.38,1
35.4,2.7,2.4,36.1,23.4,14918.50,2016,5.38,1
34.4,3.7,1.9,35.5,24.5,15170.10,2016,5.38,1
33.9,4.4,2.3,37.2,22.2,12499.10,2016,5.38,1
31.1,2.3,1.3,44.2,21.1,12657.10,2016,5.38,1
34.2,1.4,1.6,38,24.8,12340.50,2016,5.38,1
25.9,3,1.3,33.4,36.2,18887.90,2016,5.38,1
31.6,1.2,1.3,42.8,23.1,12193.50,2016,5.38,1
40.5,0.6,1.7,30,27.1,10654.90,2016,5.38,1
43.3,1.3,1.3,28.8,25.2,10109.10,2016,5.38,1
30.5,0.6,1.6,41.1,26.2,9468.40,2016,5.38,1
38.8,2.5,2.1,32.9,23.7,14427.80,2016,5.38,1
37.3,1.5,1.6,34.2,25.3,13210.20,2016,5.38,1
33.8,2.1,2,34.2,27.9,14032.20,2016,5.38,1
26.5,6.2,2.2,35.3,29.9,27586.30,2016,5.38,1
34.2,2.4,2.3,34.2,26.8,15248.00,2016,5.38,1
33.1,1.7,1.9,33.1,30.3,15914.40,2016,5.38,1
30.5,3.4,1.9,39.9,24.2,16501.00,2016,5.38,1
32.6,0.2,1.8,37.7,27.6,20631.90,2016,5.38,1
37.2,4.5,1.7,30.5,26,13588.80,2016,5.38,1
36.6,3,1.5,35.5,23.4,13623.70,2016,5.38,1
36.5,2.5,1.7,28.8,30.4,13993.00,2016,5.38,1
28,2.7,2.2,37.5,29.5,21230.20,2016,5.38,1
34.3,3.2,1.3,38.8,22.3,13674.70,2016,5.38,1
38,2.6,1.5,33.4,24.5,11780.50,2016,5.38,1
29.1,6.2,1.8,31.6,31.3,23327.50,2016,5.38,1
38.4,1.8,1.3,34.8,23.6,11534.50,2016,5.38,1
37.8,1.7,1.4,36,23.1,8526.30,2016,5.38,1
31.7,2.7,1.6,42.1,21.9,14923.00,2016,5.38,1
35.7,3.2,1.8,38.6,20.7,15429.00,2016,5.38,1
31.1,0.8,1.3,43.7,23.1,13372.40,2016,5.38,1
33.3,5.3,2.2,32,27.1,13254.60,2016,5.38,1
48.5,1.9,1.6,32.6,15.4,9345.20,2016,5.38,1
41.4,2,2.1,36.2,18.3,13270.70,2016,5.38,1
58.7,0.1,0.5,28.9,11.8,8459.20,2016,5.38,2
44.7,2.4,0,38.1,14.9,6713.80,2016,5.38,3
39.8,0.9,0.5,36.1,22.8,10259.10,2016,5.38,1
38.5,0.7,0.7,36.2,23.9,10195.00,2016,5.38,1
35.8,1.2,0.5,39.4,23.1,11034.40,2016,5.38,1
40.4,2,0,41.6,16,9887.40,2016,5.38,1
32.7,1.9,1.7,37.6,26.2,11586.70,2016,5.38,1
32.8,3.7,2.2,37.1,24.2,13344.40,2016,5.38,1
30.3,1.5,1.5,46.4,20.3,11403.80,2016,5.38,1
37.8,1.7,1.5,35.3,23.6,9936.90,2016,5.38,1
25.9,5.9,1.9,41.9,24.3,14933.50,2016,5.38,1
29,3.8,2.4,38.7,26.1,12728.70,2016,5.38,1
32.8,2.5,1.7,37.2,25.9,9977.00,2016,5.38,1
31.5,2.9,2,36.1,27.5,13090.20,2016,5.38,1
30.2,6,2.7,36.9,24.2,13272.70,2016,5.38,1
26.9,4,1.7,39.9,27.5,17377.70,2016,5.38,1
31,3.3,1.3,38.9,25.7,12136.90,2016,5.38,1
37.4,1.8,2.5,38.8,19.5,12567.00,2016,5.38,1
33.2,3.3,2,36.5,25,15112.80,2016,5.38,1
39.9,1,1.3,32.8,25,10639.60,2016,5.38,1
37.8,1.8,1.3,32.2,26.9,11998.00,2016,5.38,1
30.4,2.9,1.5,41.8,23.4,11388.90,2016,5.38,1
31.2,4.3,2.2,32.5,29.8,15383.40,2016,5.38,1
28.2,2,1.5,39,29.2,17768.90,2016,5.38,1
24.1,2,1.7,41.9,30.3,21797.90,2016,5.38,1
25.1,2.6,1.9,39.8,30.6,23442.10,2016,5.38,1
29.1,3.7,1.4,37.1,28.6,14517.50,2016,5.38,1
30.6,0.6,0.9,43.9,24,9841.20,2016,5.38,1
43.7,1.9,1.3,32,21.1,10200.80,2016,5.38,1
36.9,1.8,1.2,38.1,22,7858.50,2016,5.38,1
32.2,1.7,1.3,40.1,24.7,11281.60,2016,5.38,1
31.7,1.2,1.6,41.9,23.5,11061.70,2016,5.38,1
36.2,3.6,2.2,33.7,24.4,12368.30,2016,5.38,1
27.4,2,2,39.6,29.1,16952.80,2016,5.38,1
30.6,1.8,1.4,45.5,20.8,13585.20,2016,5.38,1
33.9,1.5,1.7,37.3,25.6,11925.70,2016,5.38,1
32.9,2.5,2.7,38,24,12239.40,2016,5.38,1
35.8,4.8,2,30.3,27.1,12053.50,2016,5.38,1
29.8,2,2.1,42.1,23.9,13616.10,2016,5.38,1
34.9,1.7,1,33.6,28.7,18202.80,2016,5.38,1
34.1,1.1,2,36.9,25.9,26713.80,2016,5.38,1
33.6,6.2,1.8,34,24.3,17268.60,2016,5.38,1
26.2,3.6,2,37.7,30.5,21656.40,2016,5.38,1
30.9,1.4,1.7,35.3,30.8,14744.80,2016,5.38,1
40,2.4,2,29.2,26.4,22445.70,2016,5.38,1
31.4,2.1,1.8,38.6,26.1,20547.10,2016,5.38,1
33.9,1.7,2.2,37.7,24.4,13157.60,2016,5.38,1
38.8,0.4,2.2,26,32.7,23953.00,2016,5.38,4
29.9,3.8,1.3,42,23,18084.00,2017,2.52,1
41.9,1.6,1.3,31.8,23.4,12121.80,2017,2.52,1
35.6,1.8,1.3,35.3,26,14509.00,2017,2.52,1
32.3,0.8,1.3,42.4,23.2,14269.90,2017,2.52,1
29,2.4,2.3,41,25.3,17259.00,2017,2.52,1
34.2,2.2,2.2,40.5,20.9,17248.30,2017,2.52,1
33.1,2.5,2.2,39.3,22.9,15137.80,2017,2.52,1
32.2,2.3,1.8,42.8,20.9,14842.20,2017,2.52,1
35.2,1.7,1.5,36.8,24.8,14833.00,2017,2.52,1
28.1,4.1,1.5,34.3,32,21297.20,2017,2.52,1
32.2,2.1,1.3,42.3,22.1,14201.80,2017,2.52,1
38.8,1.3,0.8,36.5,22.6,12436.00,2017,2.52,1
