subyekt;nomer regiona;y1;y2;y3;y4;y5;y;god;x1
Hizhegorodskaya oblast ;53;45195,00;4,00;45108,00;39.9;45073,00;17377.7;2016,00;14001,00
Orenburgskaya oblast ;54;31,00;44988,00;44986,00;38.9;45132,00;12136.9;2016,00;14001,00
Penzenskaya oblast ;55;37.4;45139,00;45048,00;38.8;45065,00;12567,00;2016,00;14001,00
Camarskaya oblast ;56;33.2;44988,00;2,00;36.5;25,00;15112.8;2016,00;14001,00
Caratovskaya oblast ;57;39.9;1,00;44986,00;32.8;25,00;10639.6;2016,00;14001,00
Ulyanovskaya oblast ;58;37.8;45139,00;44986,00;32.2;45195,00;11998,00;2016,00;14001,00
Kurganskaya oblast ;59;45046,00;45171,00;45047,00;41.8;45039,00;11388.9;2016,00;14001,00
Cverdlovskaya oblast ;60;31.2;44989,00;44959,00;32.5;45167,00;15383.4;2016,00;14001,00
Tyumenskaya oblast ;61;44985,00;2,00;45047,00;39,00;29.2;17768.9;2016,00;14001,00
  Khanty-Mansiyskiy avt.okrug ;62;44950,00;2,00;45108,00;41.9;45015,00;21797.9;2016,00;14001,00
  Yamalo-Nenetskiy avt. okrug ;63;44951,00;45079,00;45170,00;39.8;45107,00;23442.1;2016,00;14001,00
Chelyabinskaya oblast ;64;44955,00;45110,00;45017,00;37.1;45105,00;14517.5;2016,00;14001,00
Respublika Altay ;65;45107,00;0.6;0.9;43.9;24,00;9841.2;2016,00;14001,00
Respublika Buryatiya ;66;43.7;45170,00;44986,00;32,00;44947,00;10200.8;2016,00;14001,00
Respublika Tyva ;67;36.9;45139,00;44958,00;38.1;22,00;7858.5;2016,00;14001,00
Respublika Khakasiya ;68;32.2;45108,00;44986,00;40.1;45131,00;11281.6;2016,00;14001,00
Altayskiy kray ;69;45138,00;44958,00;45078,00;41.9;45069,00;11061.7;2016,00;14001,00
Zabaykalskiy kray ;70;36.2;45080,00;44959,00;33.7;45040,00;12368.3;2016,00;14001,00
Krasnoyarskiy kray ;71;45043,00;2,00;2,00;39.6;44955,00;16952.8;2016,00;14001,00
Irkutskaya oblast ;72;45107,00;45139,00;45017,00;45.5;45158,00;13585.2;2016,00;14001,00
Kemerovskaya oblast ;73;33.9;45047,00;45108,00;37.3;45102,00;11925.7;2016,00;14001,00
Hovosibirskaya oblast ;74;32.9;45048,00;45109,00;38,00;24,00;12239.4;2016,00;14001,00
Omskaya oblast ;75;35.8;45142,00;2,00;45015,00;44953,00;12053.5;2016,00;14001,00
Tomskaya oblast ;76;45167,00;2,00;44928,00;42.1;45192,00;13616.1;2016,00;14001,00
Respublika Sakha(Yakutiya) ;77;34.9;45108,00;1,00;33.6;45135,00;18202.8;2016,00;14001,00
Kamchatskiy kray ;78;34.1;44927,00;2,00;36.9;45194,00;26713.8;2016,00;14001,00
Primorskiy kray ;79;33.6;44963,00;45139,00;34,00;45009,00;17268.6;2016,00;14001,00
Xabarovskiy kray ;80;44983,00;45080,00;2,00;37.7;45076,00;21656.4;2016,00;14001,00
Amurskaya oblast ;81;45199,00;45017,00;45108,00;35.3;45168,00;14744.8;2016,00;14001,00
Magadanskaya oblast ;82;40,00;45018,00;2,00;29.2;45042,00;22445.7;2016,00;14001,00
