subyekt,nomer subyekta,y1,y2,y3,y4,y5,y,god,x
Tyumenskaya oblast ,72,28.2,2,1.5,39,29.2,17768.9,2016,5.38
 Khanty-Mansiyskiy avt.okrug ,86,24.1,2,1.7,41.9,30.3,21797.9,2016,5.38
  Yamalo-Nenetskiy avt. okrug ,89,25.1,2.6,1.9,39.8,30.6,23442.1,2016,5.38
Chelyabinskaya oblast ,74,29.1,3.7,1.4,37.1,28.6,14517.5,2016,5.38
Respublika Altay ,4,30.6,0.6,0.9,43.9,24,9841.2,2016,5.38
Respublika Buryatiya ,3,43.7,1.9,1.3,32,21.1,10200.8,2016,5.38
Respublika Tyva ,17,36.9,1.8,1.2,38.1,22,7858.5,2016,5.38
Respublika Khakasiya ,19,32.2,1.7,1.3,40.1,24.7,11281.6,2016,5.38
Altayskiy kray ,22,31.7,1.2,1.6,41.9,23.5,11061.7,2016,5.38
Zabaykalskiy kray ,75,36.2,3.6,2.2,33.7,24.4,12368.3,2016,5.38
Krasnoyarskiy kray ,24,27.4,2,2,39.6,29.1,16952.8,2016,5.38
Irkutskaya oblast ,38,30.6,1.8,1.4,45.5,20.8,13585.2,2016,5.38
Kemerovskaya oblast ,42,33.9,1.5,1.7,37.3,25.6,11925.7,2016,5.38
Hovosibirskaya oblast ,54,32.9,2.5,2.7,38,24,12239.4,2016,5.38
Omskaya oblast ,55,35.8,4.8,2,30.3,27.1,12053.5,2016,5.38
Tomskaya oblast ,70,29.8,2,2.1,42.1,23.9,13616.1,2016,5.38
Respublika Sakha(Yakutiya) ,14,34.9,1.7,1,33.6,28.7,18202.8,2016,5.38
Kamchatskiy kray ,41,34.1,1.1,2,36.9,25.9,26713.8,2016,5.38
Primorskiy kray ,25,33.6,6.2,1.8,34,24.3,17268.6,2016,5.38
Xabarovskiy kray ,27,26.2,3.6,2,37.7,30.5,21656.4,2016,5.38
Amurskaya oblast ,28,30.9,1.4,1.7,35.3,30.8,14744.8,2016,5.38
Magadanskaya oblast ,49,40,2.4,2,29.2,26.4,22445.7,2016,5.38
Cakhalinskaya oblast ,65,31.4,2.1,1.8,38.6,26.1,20547.1,2016,5.38
Evreyskaya avt. oblast ,79,33.9,1.7,2.2,37.7,24.4,13157.6,2016,5.38
Chukotskiy avt. okrug ,87,38.8,0.4,2.2,26,32.7,23953,2016,5.38
Belgorodskaya oblast ,31,29.9,3.8,1.3,42,23,18084,2017,2.52
Bryanskaya oblast ,32,41.9,1.6,1.3,31.8,23.4,12121.8,2017,2.52
Bladimirskaya oblast ,33,35.6,1.8,1.3,35.3,26,14509,2017,2.52
Boronezhskaya oblast ,36,32.3,0.8,1.3,42.4,23.2,14269.9,2017,2.52
Ivanovskaya oblast ,37,29,2.4,2.3,41,25.3,17259,2017,2.52
Kaluzhskaya oblast ,40,34.2,2.2,2.2,40.5,20.9,17248.3,2017,2.52
Kostromskaya oblast ,44,33.1,2.5,2.2,39.3,22.9,15137.8,2017,2.52
Kurskaya oblast ,46,32.2,2.3,1.8,42.8,20.9,14842.2,2017,2.52
Lipetskaya oblast ,48,35.2,1.7,1.5,36.8,24.8,14833,2017,2.52
Moskovskaya oblast ,50,28.1,4.1,1.5,34.3,32,21297.2,2017,2.52
Orlovskaya oblast ,57,32.2,2.1,1.3,42.3,22.1,14201.8,2017,2.52
Pyazanskaya oblast ,62,38.8,1.3,0.8,36.5,22.6,12436,2017,2.52
Cmolenskaya oblast ,67,42.1,0.7,1.3,30.5,25.4,13097.8,2017,2.52
Tambovskaya oblast ,68,30.9,1.1,0.8,42.8,24.4,11429.3,2017,2.52
Tverskaya oblast ,69,39.4,2.5,2.1,30.7,25.3,14592.1,2017,2.52
Tulskaya oblast ,71,37.4,1.6,1.8,34,25.2,15226,2017,2.52
Yaroslavskaya oblast ,76,31.3,1.6,1.4,35.9,29.8,14277.1,2017,2.52
g.Moskva ,77,26,4.3,1.7,38.5,29.5,29549.7,2017,2.52
Respublika Kareliya ,10,36,1.9,2.2,35.1,24.8,16244.8,2017,2.52
Respublika Komi ,11,33.3,2.2,2.2,32.7,29.6,16313.4,2017,2.52
Arkhangelskaya oblast ,29,28.7,2.2,1.3,42.4,25.4,18844.1,2017,2.52
Nenetskiy avt. okrug ,83,33.9,0.1,2.7,27.7,35.6,21452.6,2017,2.52
Bologodskaya oblast ,35,34,3.2,2.1,34.5,26.2,15452.4,2017,2.52
Kaliningradskaya oblast ,39,35.6,3.1,1.5,36.8,23,14061.7,2017,2.52
Leningradskaya oblast ,47,30.9,2.4,1.7,37,28,17538.2,2017,2.52
Murmanskaya oblast ,51,27,2.3,2.3,37.9,30.5,23776.1,2017,2.52
Hovgorodskaya oblast ,53,32.3,2.9,0.8,36.5,27.5,14533.1,2017,2.52
Pskovskaya oblast ,60,34.6,1.4,1.9,39.2,22.9,12793.7,2017,2.52
g. Sankt-Peterburg ,78,27.4,5.5,2,36,29.1,25142.2,2017,2.52
Respublika Adygeya ,1,35.1,2.2,0.8,37.5,24.4,13095.1,2017,2.52
Respublika Kalmykiya ,8,34.1,0.8,1,43.7,20.4,10780.6,2017,2.52
Respublika Krym ,91,43.9,2.3,1.4,31.6,20.8,12115.3,2017,2.52
Krasnodarskiy kray ,23,33,2.9,1.7,36.3,26.1,16076.2,2017,2.52
Astrakhanskaya oblast ,30,35.2,2.9,1.9,35.3,24.7,14713.7,2017,2.52
Bolgogradskaya oblast ,34,34.1,1.5,1.4,37.6,25.4,13874.6,2017,2.52
Postovskaya oblast ,61,32.7,4.6,2.7,32.5,27.5,15394.8,2017,2.52
g. Sevastopol ,92,51.6,1.1,1.9,26.9,18.5,18164.3,2017,2.52
Respublika Dagestan ,5,58.5,0.2,0.4,27.3,13.6,9581.7,2017,2.52
Respublika Ingushetiya ,6,59.7,0.4,0,29.4,10.5,7483.3,2017,2.52
Kabardino-Balkarskaya respublika ,7,40.4,0.6,0.6,39.1,19.3,11443.5,2017,2.52
Karachaevo-Cherkesskaya Respublika,9,32.7,1.3,0.2,37.8,28,10581.1,2017,2.52
Respublika Severnaya Osetiya-Alaniya,15,39.1,1.1,0.5,37.2,22.1,11403.3,2017,2.52
Chechenskaya Respublika ,20,32.8,1.2,0,43.3,22.7,10618.8,2017,2.52
Ctavropolskiy kray ,26,31.2,2.6,1.9,34.4,29.9,12608.7,2017,2.52
Respublika Bashkortostan ,2,31.5,3,1.5,40.2,23.8,15725.8,2017,2.52
Respublika Mariy El ,12,34.4,1.7,1.9,35.8,26.2,10330.1,2017,2.52
Respublika Mordoviya ,13,39.6,1.8,1.8,34.9,21.9,11257.4,2017,2.52
Respublika Tatarstan ,16,25.9,3.8,1.7,44.1,24.5,15990.8,2017,2.52
Udmurtskaya Respublika ,18,26.9,4,1.9,41.8,25.4,16086.6,2017,2.52
Chuvashskaya Respublika ,21,36.5,2.8,1.5,33.7,25.5,9730,2017,2.52
Permskiy kray ,59,28.8,2.6,1.8,40.5,26.3,15775.6,2017,2.52
